iter	Passed	Remaining
0	13	41199
1	27	41502
2	40	40761
3	56	42171
4	73	43909
5	90	45352
6	105	45238
7	119	44875
8	135	44981
9	149	44667
10	163	44428
11	178	44323
12	190	43822
13	205	43726
14	218	43531
15	233	43488
16	247	43494
17	262	43439
18	276	43355
19	291	43436
20	305	43308
21	318	43180
22	331	42925
23	345	42848
24	359	42811
25	375	42898
26	387	42681
27	413	43931
28	444	45576
29	467	46280
30	484	46433
31	500	46412
32	516	46474
33	536	46786
34	556	47129
35	575	47375
36	593	47556
37	611	47695
38	626	47548
39	640	47421
40	655	47335
41	672	47374
42	690	47469
43	705	47421
44	719	47236
45	733	47125
46	748	47052
47	766	47128
48	782	47115
49	798	47108
50	814	47105
51	830	47061
52	845	46998
53	861	47003
54	876	46905
55	892	46925
56	912	47139
57	930	47201
58	948	47270
59	964	47259
60	982	47318
61	997	47283
62	1012	47213
63	1031	47339
64	1050	47426
65	1069	47560
66	1087	47613
67	1104	47628
68	1117	47484
69	1131	47380
70	1145	47250
71	1158	47126
72	1175	47113
73	1189	47037
74	1204	46956
75	1217	46849
76	1232	46779
77	1246	46683
78	1259	46551
79	1272	46463
80	1287	46408
81	1301	46312
82	1315	46241
83	1333	46274
84	1346	46181
85	1360	46102
86	1376	46072
87	1391	46029
88	1406	46006
89	1422	45991
90	1436	45926
91	1452	45900
92	1467	45859
93	1483	45865
94	1496	45772
95	1512	45760
96	1526	45695
97	1542	45669
98	1556	45601
99	1569	45526
100	1584	45492
101	1600	45467
102	1614	45418
103	1630	45391
104	1646	45403
105	1664	45453
106	1680	45445
107	1694	45364
108	1707	45299
109	1722	45244
110	1736	45206
111	1753	45222
112	1772	45276
113	1789	45297
114	1805	45283
115	1821	45286
116	1840	45349
117	1855	45324
118	1871	45309
119	1886	45266
120	1900	45216
121	1915	45176
122	1929	45134
123	1944	45097
124	1958	45051
125	1975	45058
126	1991	45044
127	2006	45012
128	2020	44973
129	2034	44907
130	2050	44899
131	2063	44840
132	2077	44792
133	2093	44766
134	2108	44740
135	2122	44699
136	2137	44678
137	2154	44676
138	2170	44676
139	2185	44652
140	2201	44646
141	2216	44615
142	2232	44609
143	2246	44554
144	2260	44513
145	2274	44458
146	2289	44426
147	2302	44377
148	2317	44336
149	2334	44358
150	2348	44315
151	2363	44290
152	2378	44254
153	2397	44311
154	2416	44355
155	2430	44310
156	2445	44289
157	2461	44271
158	2475	44228
159	2491	44229
160	2507	44216
161	2521	44167
162	2535	44127
163	2550	44107
164	2565	44082
165	2580	44062
166	2596	44044
167	2613	44063
168	2630	44063
169	2643	44012
170	2659	43996
171	2673	43957
172	2690	43965
173	2706	43955
174	2721	43929
175	2735	43895
176	2751	43876
177	2763	43815
178	2778	43782
179	2792	43752
180	2809	43752
181	2824	43730
182	2841	43735
183	2856	43709
184	2870	43680
185	2886	43671
186	2901	43648
187	2915	43608
188	2930	43585
189	2944	43541
190	2958	43508
191	2972	43472
192	2986	43438
193	3001	43415
194	3017	43403
195	3031	43369
196	3049	43388
197	3064	43360
198	3080	43360
199	3095	43337
200	3111	43322
201	3125	43289
202	3138	43245
203	3153	43215
204	3168	43199
205	3183	43178
206	3198	43155
207	3212	43121
208	3228	43110
209	3242	43072
210	3257	43057
211	3271	43025
212	3286	42997
213	3299	42961
214	3314	42931
215	3327	42894
216	3343	42875
217	3356	42838
218	3370	42804
219	3386	42789
220	3400	42754
221	3416	42752
222	3432	42743
223	3446	42711
224	3462	42700
225	3480	42715
226	3494	42689
227	3510	42682
228	3524	42652
229	3539	42622
230	3553	42600
231	3568	42573
232	3584	42572
233	3600	42557
234	3615	42535
235	3630	42521
236	3645	42498
237	3665	42535
238	3681	42529
239	3696	42508
240	3710	42477
241	3724	42449
242	3739	42426
243	3753	42392
244	3768	42378
245	3783	42359
246	3799	42348
247	3814	42323
248	3828	42301
249	3841	42253
250	3855	42223
251	3870	42205
252	3884	42176
253	3904	42211
254	3922	42226
255	3940	42236
256	3954	42208
257	3968	42175
258	3982	42149
259	3998	42137
260	4015	42137
261	4031	42126
